Day,Sales,Trading Profit,Operating Expense,Net Profit
0,0,0,0,0
1,0,0,12600,-12600
2,0,0,281460,-281460
3,28797,11787,310320,-298533
4,58162,23805,339180,-315375
5,146675,59695,372038,-312343
6,1557018,280112,409423,-129311
7,1661529,322727,490863,-168136
8,1790068,358918,537891,-178973
9,3399506,693185,683716,9469
10,3727971,844989,724728,120261
11,6748221,1986680,822318,1164362
12,7044570,2127514,856095,1271419
13,12744999,3382525,916448,2466077
14,14081803,3755108,949474,2805634
15,14187253,3825654,983148,2842506
16,21804136,5625869,1032944,4592925
17,23290634,6079886,1084650,4995236
18,25787149,6681476,1340433,5341043
19,31538601,7541605,1413054,6128551
20,32322676,7687882,1467461,6220421
21,36586769,8468165,1529243,6938922
22,39400071,8971593,1591836,7379757
23,44336802,10545309,1671368,8873941
24,44505331,10620049,1950904,8669145
25,47075680,11138071,2092403,9045668
26,48208846,11430643,2131935,9298708
27,48370115,11505271,2176519,9328752
28,49359496,11712984,2217078,9495906
29,49627939,11921297,2259637,9661660
30,49763154,11994145,2322907,9671238
31,49895714,12066332,2363123,9703209
32,52068716,12501052,2452757,10048295
33,54566470,13110799,2549157,10561642
34,54733325,13219623,2715684,10503939
35,58184087,14010635,2799051,11211584
36,60404198,14587434,2883551,11703883
37,62080558,15117246,3118404,11998842
38,65290790,16084377,3196918,12887459
39,70087089,17908945,3281418,14627527
40,70231096,18023013,3388514,14634499
41,70347427,17876171,3467734,14408437
42,70618604,18090838,3710442,14380396
43,75741678,19404750,3996000,15408750
44,75873382,19326449,4096007,15230442
45,83523232,21010242,4324502,16685740
46,85003679,21326477,4726917,16599560
47,87083375,21766964,4961274,16805690
48,89680728,22404842,5061784,17343058
49,91788571,23095884,5169101,17926783
50,96399937,24959171,5380446,19578725
51,96932518,25119772,5573026,19546746
52,98817921,25948973,5761686,20187287
53,99423364,26252228,5860952,20391276
54,100553396,26998774,5962296,21036478
55,100979891,27367205,6066978,21300227
56,101266768,27569092,6211015,21358077
57,103748237,29349404,6367579,22981825
58,104605537,29929187,6516481,23412706
59,104717263,30016888,6741935,23274953
60,104834707,30109441,6887507,23221934
61,104951376,30200989,7117850,23083139
62,105312634,30359687,7289999,23069688
63,106831176,31074783,7444262,23630521
64,107436922,31396021,7685034,23710987
65,107570081,31497922,7852503,23645419
66,107743004,31635973,8047993,23587980
67,108832149,31973183,8243483,23729700
68,109649509,32282547,8430726,23851821
69,109813921,32413875,8614919,23798956
70,110152858,32718990,8782781,23936209
71,110310593,32838177,9008251,23829926
72,110624115,33113457,9191757,23921700
73,111344787,33325330,9375202,23950128
74,113054071,33143551,9541742,23601809
75,113884949,33329670,9834305,23495365
76,115933680,33040975,10146985,22893990
77,116096732,33159967,10367144,22792823
78,117909506,33573805,10527331,23046474
79,120084967,34507464,10681002,23826462
80,121280694,35319824,10863310,24456514
81,121977948,35809189,11075901,24733288
82,122867594,36310943,11289903,25021040
83,122968165,36382793,11755629,24627164
84,123923480,36791163,11982599,24808564
85,125642269,36768477,12307852,24443625
86,126058031,36844140,12503026,24324114
87,128354221,37470327,12800246,24653081
88,128530795,37548977,12960420,24576557
89,130706449,37683026,13215834,24440192
90,132531138,38142527,13429432,24671595
